difficulty,importance,scheduled_duration,category,location,fixed_time,time_difference,real_duration
0.651,0.686,34,work,office,16:18,0.3,42.3
0.096,0.328,41,personal,store,21:30,12.5,36.5
0.527,0.462,120,study,home,,-1,126.9
0.804,0.502,35,health,outdoor,22:18,14.3,72.9
0.809,0.504,53,work,home,,-1,67.9
0.491,0.51,87,work,home,09:00,3.0,93.0
0.865,0.862,46,health,home,,-1,76.8
0.851,0.074,140,social,cafe,,-1,183.4
0.283,0.323,31,errand,outdoor,16:18,4.3,57.9
0.874,0.61,46,health,home,09:15,-4.75,0.0
0.576,0.626,98,work,office,23:15,8.25,116.7
0.05,0.394,65,personal,home,,-1,43.8
0.396,0.345,23,personal,cafe,,-1,28.7
0.473,0.103,155,social,cafe,,-1,153.9
0.409,0.284,76,work,cafe,,-1,85.6
0.539,0.531,98,work,cafe,,-1,114.8
0.304,0.744,68,work,office,12:18,-4.7,0.0
0.41,0.403,77,study,office,,-1,93.6
0.522,0.4,120,study,cafe,,-1,146.0
0.439,0.782,92,study,office,,-1,112.5
0.755,0.101,77,personal,store,,-1,75.6
0.979,0.58,103,study,cafe,,-1,163.5
0.29,0.548,17,personal,store,09:30,-5.5,0.0
0.945,0.927,87,work,home,21:45,5.75,151.9
0.397,0.521,57,work,cafe,18:18,-0.7,0.0
0.32,0.49,46,work,office,,-1,60.0
0.417,0.669,62,study,cafe,,-1,76.1
0.529,0.718,178,social,outdoor,,-1,209.6
0.329,0.478,60,study,office,15:30,3.5,74.9
0.456,0.744,82,study,home,23:15,16.25,91.3
0.152,0.306,54,personal,store,10:30,0.5,38.9
0.427,0.515,44,errand,outdoor,21:18,1.3,66.9
0.717,0.685,22,health,outdoor,16:00,5.0,49.4
0.376,0.45,78,work,office,15:30,-2.5,0.0
0.297,0.287,56,personal,home,14:30,-4.5,0.0
0.536,0.496,40,work,office,,-1,55.4
0.175,0.387,38,errand,outdoor,19:18,0.3,47.3
0.505,0.872,88,work,cafe,,-1,110.5
0.533,0.208,81,personal,cafe,,-1,72.4
0.82,0.928,75,work,home,,-1,110.7
0.851,0.61,56,health,home,22:00,7.0,78.3
0.375,0.638,32,study,cafe,,-1,40.1
0.672,1.0,74,work,cafe,,-1,112.5
0.021,0.394,36,errand,store,15:15,-3.75,0.0
0.345,0.312,43,study,office,,-1,64.7
0.26,0.161,70,personal,store,14:18,-6.7,0.0
0.624,0.662,110,work,home,,-1,127.4
0.195,0.618,22,health,home,12:00,2.0,20.9
0.231,0.527,71,social,outdoor,17:30,8.5,92.9
0.67,0.578,42,study,home,17:18,9.3,47.5
0.41,0.53,92,work,home,,-1,93.5
0.685,0.502,119,work,home,,-1,128.3
0.263,0.393,84,personal,home,18:15,8.25,63.2
1.0,0.609,43,health,gym,,-1,88.0
0.226,0.443,45,personal,store,,-1,41.9
0.374,0.487,88,work,home,,-1,97.8
0.499,0.498,23,errand,store,22:45,5.75,33.5
0.366,0.66,20,health,home,12:15,2.25,24.5
0.28,0.225,44,errand,store,,-1,47.0
0.331,0.519,154,social,cafe,,-1,159.9
0.187,0.121,36,personal,store,,-1,31.1
0.151,0.768,92,study,office,,-1,91.5
0.913,0.715,41,work,home,23:18,9.3,59.7
0.54,0.219,23,personal,home,15:00,-6.0,0.0
0.839,0.873,31,study,home,13:30,-8.5,0.0
0.482,0.294,101,social,cafe,,-1,119.3
0.464,0.301,39,errand,outdoor,16:18,-5.7,0.0
0.52,0.58,43,errand,store,,-1,49.6
0.386,0.804,63,work,home,,-1,71.2
0.483,0.498,42,personal,cafe,,-1,51.3
0.72,0.849,112,work,cafe,14:45,-6.25,0.0
0.408,0.332,60,personal,cafe,,-1,64.6
0.107,0.415,40,personal,cafe,,-1,36.9
0.669,0.831,19,errand,outdoor,,-1,48.1
0.961,0.652,111,work,home,,-1,165.1
0.316,0.424,95,social,cafe,09:30,-6.5,0.0
0.626,0.545,76,work,home,,-1,83.3
0.833,0.5,71,work,cafe,,-1,103.1
0.589,0.758,45,work,home,19:18,4.3,49.0
0.507,0.194,69,personal,cafe,,-1,67.5
0.676,0.474,88,work,office,,-1,121.6
0.609,0.613,57,work,home,09:30,3.5,60.0
0.252,0.4,20,personal,home,11:15,-9.75,0.0
0.113,0.834,45,errand,store,,-1,53.8
0.775,0.012,95,social,home,,-1,101.9
0.397,0.559,16,errand,home,,-1,13.6
0.218,0.711,48,study,home,,-1,47.7
0.62,0.733,41,health,home,11:18,5.3,47.9
0.151,0.171,119,social,outdoor,,-1,111.3
0.771,0.732,46,work,home,17:30,3.5,64.4
0.774,0.783,51,health,home,,-1,71.4
0.614,0.485,59,health,gym,,-1,82.4
0.129,0.39,41,errand,home,,-1,34.0
0.542,0.624,95,work,office,20:45,5.75,114.9
0.379,0.304,67,work,cafe,,-1,73.6
0.46,0.382,103,study,office,,-1,120.7
0.0,0.775,36,personal,cafe,,-1,34.7
0.211,0.79,58,health,outdoor,,-1,87.9
0.812,0.746,53,health,gym,12:30,2.5,87.9
0.466,0.342,26,errand,store,16:18,0.3,29.0
0.948,0.621,29,health,gym,13:00,-7.0,0.0
0.645,0.341,31,work,home,,-1,34.3
0.104,0.652,87,personal,cafe,17:45,7.75,75.5
0.259,0.165,35,errand,home,15:15,2.25,30.6
0.246,0.695,58,health,gym,,-1,81.4
0.194,0.684,22,personal,home,,-1,19.5
0.416,0.758,51,personal,store,18:15,12.25,59.8
0.668,1.0,100,work,office,14:45,-6.25,0.0
0.583,0.639,82,work,office,23:18,3.3,95.2
0.142,0.669,59,study,office,17:45,2.75,64.2
0.327,0.454,50,personal,store,09:15,0.25,0.0
0.312,0.678,55,health,home,19:00,11.0,63.4
0.448,0.776,86,study,home,11:30,-1.5,0.0
0.239,0.477,70,study,home,,-1,72.7
0.0,0.355,36,errand,home,,-1,29.1
0.483,0.411,15,errand,store,,-1,23.2
0.706,0.765,52,work,office,,-1,80.4
0.588,0.351,53,health,home,16:30,-2.5,0.0
0.371,0.332,78,personal,store,,-1,78.2
0.079,0.448,37,health,home,16:15,0.25,26.2
0.712,0.324,68,personal,home,,-1,61.8
0.454,0.448,62,study,home,,-1,59.3
0.253,0.07,75,work,office,,-1,80.1
0.619,0.64,93,work,office,15:15,-0.75,0.0
0.335,0.326,68,work,home,,-1,72.3
0.306,0.495,29,errand,outdoor,14:30,7.5,49.8
0.134,0.372,13,errand,home,,-1,8.8
0.543,0.51,33,work,home,,-1,38.0
0.559,0.335,79,work,home,13:00,6.0,78.5
0.138,0.509,113,social,outdoor,15:45,-0.25,0.0
0.788,0.425,93,work,home,,-1,117.1
0.196,0.13,113,social,home,22:15,0.25,0.0
0.51,0.802,31,work,cafe,,-1,43.9
0.138,0.128,21,errand,home,13:15,-0.75,0.0
0.361,0.43,37,work,office,12:00,-8.0,0.0
0.0,0.304,40,errand,store,16:30,7.5,43.6
0.421,0.913,36,work,home,23:18,11.3,42.9
0.732,0.555,34,work,home,,-1,39.6
0.53,0.467,98,work,cafe,,-1,110.8
0.648,0.507,33,study,home,,-1,33.1
0.586,0.642,24,errand,home,18:18,12.3,26.5
0.606,0.19,35,study,home,22:30,9.5,31.6
0.059,0.423,122,social,cafe,21:15,3.25,106.2
0.439,0.415,143,social,cafe,,-1,151.3
0.792,0.708,25,health,home,,-1,34.9
0.344,0.368,49,personal,cafe,,-1,49.3
0.5,0.472,34,work,home,,-1,41.3
0.506,0.711,51,health,gym,,-1,83.6
0.109,0.275,10,errand,outdoor,13:18,-3.7,0.0
0.536,0.508,85,work,office,,-1,107.2
0.404,0.843,43,work,office,17:30,8.5,72.2
0.279,0.507,27,errand,outdoor,,-1,53.0
0.354,0.512,84,personal,home,12:45,4.75,76.5
0.468,0.617,39,health,outdoor,08:18,0.3,52.0
0.636,0.712,34,health,outdoor,,-1,67.4
0.353,0.885,57,study,office,12:30,0.5,59.4
0.432,1.0,93,work,cafe,20:45,0.75,104.0
0.283,0.616,19,errand,home,,-1,14.9
0.515,0.572,33,work,home,17:30,1.5,29.2
0.629,0.485,11,errand,store,,-1,23.2
0.791,0.234,89,study,home,,-1,110.5
0.804,0.361,71,personal,home,16:45,-1.25,0.0
0.506,0.639,57,work,office,,-1,80.3
0.595,0.606,74,personal,store,14:18,1.3,76.5
0.309,0.504,22,errand,home,10:15,4.25,14.1
0.519,0.735,105,study,home,12:15,-5.75,0.0
0.377,0.599,74,study,office,15:18,-4.7,0.0
0.404,0.574,76,study,cafe,,-1,94.9
0.777,0.663,91,study,home,18:18,-1.7,0.0
0.178,0.972,28,errand,store,,-1,35.8
0.304,0.502,15,errand,home,13:15,2.25,14.0
0.482,0.328,38,personal,cafe,,-1,47.7
0.347,0.377,64,personal,cafe,19:15,12.25,64.2
0.217,0.219,76,personal,home,,-1,62.7
0.635,0.613,108,social,outdoor,18:18,7.3,138.7
0.148,0.573,45,errand,home,,-1,37.3
0.088,0.333,50,personal,store,11:30,-5.5,0.0
0.456,0.513,49,health,home,,-1,55.8
0.035,0.275,26,errand,outdoor,17:45,11.75,45.7
0.237,0.706,74,study,home,12:18,1.3,66.5
0.306,0.474,87,study,cafe,,-1,93.1
0.468,0.989,94,study,home,09:45,-4.25,0.0
0.429,0.211,66,personal,home,,-1,53.1
0.339,0.559,107,social,outdoor,16:15,8.25,134.1
0.171,0.572,50,work,office,,-1,62.2
0.256,0.608,35,personal,home,10:00,-11.0,0.0
0.615,0.758,35,work,cafe,,-1,48.9
0.417,0.133,55,personal,home,,-1,47.9
0.295,0.235,64,personal,store,18:18,9.3,64.4
0.605,0.734,87,work,cafe,,-1,111.6
0.81,0.507,85,work,office,,-1,124.3
0.431,0.636,91,study,home,15:18,4.3,102.7
0.104,0.552,26,personal,cafe,11:30,-7.5,0.0
0.615,0.734,97,work,office,,-1,128.2
0.999,1.0,31,work,home,10:30,1.5,53.4
0.404,0.431,19,errand,outdoor,,-1,38.8
0.315,0.146,27,errand,store,,-1,28.5
0.729,0.74,77,work,cafe,,-1,107.6
0.504,0.709,54,study,home,13:18,-8.7,0.0
0.312,0.606,33,errand,outdoor,08:18,1.3,56.0
0.459,0.444,81,work,cafe,,-1,101.5
0.516,0.543,32,errand,store,21:18,12.3,41.0
0.557,0.579,31,health,outdoor,,-1,63.4
0.475,0.763,60,work,cafe,,-1,73.5
0.0,0.609,52,personal,home,23:18,17.3,35.9
0.409,0.576,68,social,cafe,,-1,74.8
0.267,0.682,80,personal,store,12:30,-6.5,0.0
0.261,0.255,80,personal,home,,-1,66.8
0.262,0.36,76,social,home,,-1,75.2
0.164,0.169,83,personal,home,,-1,54.8
0.563,0.75,44,health,home,18:00,0.0,0.0
0.777,0.959,41,work,office,,-1,77.9
0.157,0.442,24,errand,store,,-1,25.8
0.41,0.531,119,work,office,09:15,-1.75,0.0
0.445,0.633,104,study,home,10:45,4.75,108.0
0.661,0.622,86,study,office,22:45,3.75,114.8
0.094,0.372,90,social,home,,-1,72.8
0.247,0.136,34,errand,store,15:00,-4.0,0.0
0.144,0.077,15,errand,store,16:00,-4.0,0.0
0.106,0.712,48,health,home,,-1,44.4
0.272,0.166,69,personal,home,18:00,0.0,0.0
0.457,0.68,45,study,office,22:30,0.5,54.9
0.241,0.818,83,work,home,,-1,99.5
0.393,0.7,39,personal,home,,-1,36.6
0.179,0.469,66,personal,cafe,,-1,60.9
0.168,0.88,42,work,cafe,14:30,-1.5,0.0
0.085,0.654,31,errand,home,09:30,-11.5,0.0
0.192,0.525,150,social,outdoor,,-1,154.0
0.236,0.292,38,personal,cafe,20:45,14.75,39.9
0.447,0.753,10,errand,store,,-1,17.3
0.076,0.52,35,errand,home,,-1,31.1
0.1,0.274,45,errand,store,,-1,42.2
0.585,0.514,115,study,office,,-1,139.3
0.46,0.504,41,study,cafe,08:15,-12.75,0.0
0.701,1.0,51,work,office,13:15,3.25,86.7
0.165,0.468,115,work,office,,-1,122.7
0.507,0.565,116,work,home,19:45,7.75,122.8
0.234,0.069,17,personal,home,20:00,1.0,11.3
0.435,0.585,66,social,outdoor,,-1,88.3
0.367,0.531,36,work,home,20:00,7.0,47.3
0.384,0.189,95,work,home,,-1,97.7
0.642,0.276,41,errand,home,14:15,-7.75,0.0
0.332,0.537,70,personal,store,15:45,-4.25,0.0
0.604,0.529,71,work,office,19:45,13.75,97.9
0.727,1.0,42,study,office,17:18,11.3,74.1
0.619,0.105,43,work,cafe,,-1,48.7
0.531,0.563,85,study,cafe,08:18,-13.7,0.0
0.665,0.659,66,work,cafe,17:00,-3.0,0.0
0.293,0.42,137,social,outdoor,10:15,1.25,119.0
0.342,0.577,51,study,cafe,14:18,-6.7,0.0
0.671,0.891,36,errand,store,21:45,12.75,45.1
0.595,0.832,33,health,outdoor,23:45,14.75,68.4
0.398,0.51,56,personal,home,,-1,51.2
0.149,0.497,37,work,cafe,19:00,-3.0,0.0
0.517,0.071,52,personal,store,,-1,53.2
0.401,1.0,20,health,outdoor,,-1,50.2
0.498,0.46,104,study,cafe,08:30,-13.5,0.0
0.617,0.613,40,health,gym,19:45,0.75,70.7
0.361,0.879,113,study,office,19:45,13.75,142.5
0.841,0.609,33,study,home,,-1,44.4
0.605,0.066,84,work,office,,-1,94.9
0.445,0.435,65,personal,home,12:15,-1.75,0.0
0.293,0.186,13,errand,store,16:30,2.5,17.3
0.011,0.848,101,study,cafe,10:30,-5.5,0.0
0.417,0.577,73,work,cafe,,-1,78.1
0.001,0.459,34,errand,store,10:30,-3.5,0.0
0.398,0.123,114,work,home,23:00,1.0,81.3
0.704,0.46,33,study,cafe,15:18,0.3,31.7
0.877,0.414,41,work,home,09:30,-5.5,0.0
0.797,0.339,73,social,home,,-1,89.6
0.287,0.172,72,personal,home,18:30,10.5,53.3
0.239,0.472,106,study,office,,-1,113.7
0.481,0.096,121,social,home,11:18,5.3,123.1
0.26,0.301,13,errand,outdoor,,-1,30.6
0.626,0.434,132,social,home,,-1,135.9
0.456,0.364,66,work,office,12:00,-6.0,0.0
0.574,0.252,29,errand,home,17:15,3.25,25.3
0.474,0.255,50,personal,store,,-1,57.7
0.165,0.158,18,errand,store,,-1,28.4
0.545,0.28,47,personal,cafe,18:30,1.5,50.1
0.0,0.519,17,errand,home,,-1,16.1
0.448,0.968,48,health,home,,-1,70.0
0.383,0.562,90,work,home,12:00,4.0,96.2
0.294,0.446,33,errand,home,,-1,26.4
0.326,0.563,108,work,home,20:15,5.25,99.9
0.499,0.587,39,errand,outdoor,20:00,-2.0,0.0
0.848,0.617,33,health,gym,13:18,3.3,65.7
0.612,0.555,46,work,office,,-1,60.9
0.05,0.247,77,personal,store,,-1,58.2
0.198,0.259,28,personal,cafe,13:30,-0.5,0.0
0.732,0.337,31,personal,cafe,,-1,40.0
0.274,0.445,58,personal,cafe,18:45,-1.25,0.0
1.0,0.189,147,social,outdoor,,-1,225.6
0.664,0.425,90,personal,store,,-1,94.6
0.553,0.513,46,personal,home,,-1,39.8
0.419,0.327,47,personal,home,13:15,-3.75,0.0
0.561,0.627,67,work,home,,-1,70.2
0.376,0.678,88,study,office,08:18,1.3,93.8
0.69,0.324,38,personal,cafe,12:45,-2.25,0.0
0.447,0.199,69,personal,home,,-1,54.3
0.585,0.851,17,personal,cafe,,-1,31.0
0.45,0.119,109,work,home,21:18,4.3,106.8
0.626,0.498,39,study,office,,-1,56.9
0.899,0.727,41,health,outdoor,18:30,-0.5,0.0
0.445,0.573,21,errand,store,,-1,29.2
0.577,0.705,47,work,cafe,10:00,-1.0,61.8
0.285,0.771,71,study,cafe,,-1,80.9
0.946,0.257,88,work,cafe,14:45,5.75,133.1
0.645,0.713,30,health,outdoor,19:30,7.5,62.5
0.494,0.495,68,personal,home,,-1,59.6
0.026,0.333,33,errand,home,,-1,24.4
0.718,0.592,63,work,office,09:18,-10.7,0.0
0.208,0.219,31,personal,cafe,09:15,-0.75,0.0
0.22,0.332,49,personal,cafe,,-1,48.5
1.0,0.346,107,work,home,,-1,168.8
0.352,0.132,38,errand,home,,-1,25.5
0.827,0.389,59,study,cafe,12:30,-3.5,0.0
0.08,0.259,142,social,outdoor,,-1,151.8
0.51,0.307,115,work,home,,-1,121.7
0.52,1.0,70,work,cafe,08:18,-13.7,0.0
0.298,0.206,40,personal,home,,-1,23.7
0.235,0.643,32,errand,outdoor,11:15,0.25,35.5
0.136,1.0,31,study,office,,-1,50.1
0.468,0.719,111,work,home,20:15,4.25,133.5
0.584,0.786,64,work,cafe,,-1,86.3
0.526,0.573,85,study,office,08:15,-4.75,0.0
0.323,0.408,79,work,office,08:00,-3.0,0.0
0.682,0.448,36,work,home,08:15,-11.75,0.0
0.486,0.666,111,study,cafe,21:15,13.25,128.3
0.0,0.371,30,errand,home,,-1,24.7
0.069,0.352,64,personal,cafe,20:15,1.25,55.2
0.84,0.254,36,errand,outdoor,,-1,61.7
0.569,0.716,118,study,home,21:45,8.75,118.0
0.195,0.352,73,work,home,22:18,16.3,72.9
0.657,0.911,70,study,cafe,10:00,-9.0,0.0
0.332,0.378,10,errand,home,,-1,10.6
0.601,0.608,45,health,outdoor,,-1,82.8
0.185,0.697,75,social,home,,-1,65.2
0.504,0.786,104,work,cafe,,-1,126.2
0.934,0.714,111,work,home,,-1,155.1
0.611,0.804,120,study,cafe,14:45,3.75,134.2
0.378,0.77,41,health,home,,-1,44.5
0.562,0.557,115,work,office,,-1,134.7
0.254,0.352,25,errand,home,,-1,19.3
0.636,1.0,44,health,home,,-1,64.6
0.503,1.0,97,work,home,,-1,121.2
0.649,0.601,32,study,office,13:18,-8.7,0.0
0.583,0.697,57,personal,store,08:00,-10.0,0.0
0.274,0.387,41,errand,store,,-1,48.7
0.348,0.784,65,work,office,22:15,5.25,81.9
0.678,0.37,72,personal,store,14:18,2.3,77.9
0.772,0.709,41,health,outdoor,08:30,-1.5,0.0
0.285,0.246,33,errand,store,,-1,37.0
0.532,0.688,99,work,office,22:18,13.3,124.8
0.548,0.444,55,health,outdoor,14:30,1.5,85.7
0.581,0.289,114,social,outdoor,21:45,15.75,151.6
0.719,1.0,51,health,gym,20:45,7.75,104.2
0.295,0.123,61,personal,home,13:15,6.25,43.8
0.454,0.671,120,study,cafe,,-1,123.9
0.473,0.306,76,work,cafe,,-1,90.6
0.18,0.379,14,errand,store,,-1,22.8
0.701,0.7,94,study,office,,-1,123.2
0.21,0.22,20,errand,home,,-1,11.4
0.613,0.917,41,work,office,09:18,-5.7,0.0
0.155,0.557,95,work,office,,-1,111.5
0.292,0.325,29,personal,store,,-1,40.0
0.494,0.412,120,study,cafe,,-1,128.1
0.446,0.641,23,errand,store,11:00,-11.0,0.0
0.633,0.668,68,work,cafe,,-1,87.3
0.131,0.446,44,errand,home,21:30,15.5,34.5
0.53,0.642,123,social,outdoor,,-1,145.0
0.952,0.896,63,work,cafe,,-1,120.2
0.696,0.432,106,work,office,,-1,149.4
0.436,0.614,17,personal,home,,-1,11.0
0.413,0.467,63,study,office,19:30,-1.5,0.0
0.441,0.146,67,social,cafe,,-1,71.3
0.395,0.675,96,work,office,23:00,5.0,120.4
0.221,0.415,78,personal,home,13:15,2.25,61.4
0.583,0.584,24,health,outdoor,17:45,-0.25,0.0
0.088,0.604,14,errand,home,19:18,10.3,10.6
0.545,0.187,64,personal,home,,-1,48.7
0.649,0.549,115,work,cafe,18:00,11.0,128.2
0.465,0.219,118,work,cafe,,-1,136.3
0.814,0.689,32,work,home,,-1,41.5
0.551,0.742,40,work,home,20:45,4.75,42.0
0.637,0.509,96,study,home,17:00,2.0,104.4
0.555,0.563,56,work,cafe,20:15,4.25,64.7
0.529,0.586,40,personal,store,,-1,46.2
0.508,0.488,68,personal,home,,-1,61.2
0.704,0.253,39,personal,cafe,,-1,43.2
0.0,0.463,102,work,office,,-1,91.9
0.543,0.492,53,work,office,14:18,-6.7,0.0
0.739,0.501,36,study,office,,-1,58.5
0.472,0.931,62,work,home,21:15,2.25,75.0
0.487,0.785,34,study,office,,-1,50.4
0.589,0.762,20,health,gym,,-1,45.8
0.701,0.609,22,errand,home,21:15,3.25,22.7
0.584,0.425,74,study,cafe,,-1,91.0
0.778,0.496,119,work,home,23:00,6.0,147.7
0.663,0.632,35,work,office,,-1,56.9
0.453,0.291,48,health,outdoor,,-1,80.4
0.159,0.553,176,social,home,22:15,16.25,158.1
0.361,0.341,44,errand,store,11:15,-2.75,0.0
0.779,0.676,79,work,cafe,,-1,111.3
0.0,0.333,37,personal,store,18:45,6.75,33.7
0.067,0.585,19,personal,home,18:15,-1.75,0.0
0.371,0.688,69,work,office,12:18,-1.7,0.0
0.384,0.693,87,personal,store,12:45,-9.25,0.0
0.885,0.716,68,work,cafe,,-1,102.4
0.364,0.328,21,health,gym,09:00,-12.0,0.0
0.776,0.58,102,study,home,22:30,11.5,125.8
0.749,0.42,82,work,home,,-1,101.3
0.53,0.651,103,work,home,15:45,3.75,122.9
0.336,0.134,162,social,cafe,11:00,-9.0,0.0
0.497,0.531,73,study,office,18:45,10.75,97.8
0.661,0.67,80,study,home,19:18,11.3,92.5
0.838,0.472,29,health,outdoor,,-1,63.2
0.439,0.564,113,work,cafe,,-1,133.1
0.661,0.664,48,work,home,,-1,61.2
0.522,0.332,62,work,cafe,,-1,79.6
0.466,0.509,102,study,cafe,,-1,117.2
0.173,0.641,39,personal,cafe,14:30,8.5,39.7
0.17,0.345,25,errand,store,15:18,3.3,35.7
0.493,0.581,17,personal,cafe,21:00,1.0,22.3
0.446,0.413,18,personal,home,21:30,12.5,16.9
0.779,1.0,41,study,cafe,,-1,65.6
0.504,0.431,58,personal,home,20:00,-1.0,59.8
0.222,0.548,33,errand,store,,-1,36.6
0.273,0.716,107,study,home,20:18,9.3,100.4
0.679,0.52,47,health,outdoor,22:18,6.3,84.7
0.245,0.5,24,errand,home,20:15,-1.75,0.0
0.0,0.349,14,errand,outdoor,,-1,31.1
0.719,1.0,35,work,office,10:15,0.25,45.6
0.448,0.289,73,personal,store,,-1,79.1
0.354,0.391,66,personal,home,13:45,3.75,62.7
0.394,0.395,45,personal,home,,-1,39.2
0.263,0.49,70,work,cafe,11:45,2.75,83.2
0.0,0.527,111,work,office,17:00,-5.0,0.0
0.449,0.827,43,personal,store,,-1,45.9
0.479,0.655,109,study,cafe,10:45,-5.25,0.0
0.767,0.676,52,work,home,,-1,64.8
0.312,0.582,45,work,office,22:45,5.75,57.1
0.243,0.293,69,study,home,13:15,2.25,65.0
0.497,0.109,74,social,cafe,,-1,75.5
0.002,0.564,143,social,home,16:00,-2.0,0.0
0.594,0.769,29,health,outdoor,,-1,61.6
0.459,0.524,30,errand,outdoor,,-1,55.1
0.212,0.345,53,health,home,21:45,2.75,56.6
0.851,0.454,109,study,cafe,09:15,-7.75,0.0
0.346,0.184,89,social,cafe,11:00,-6.0,0.0
0.564,0.368,86,personal,home,,-1,79.8
0.919,0.176,70,work,office,12:18,-8.7,0.0
0.691,0.701,22,health,gym,,-1,44.5
0.459,0.478,24,health,outdoor,,-1,53.5
0.541,0.513,115,work,office,18:15,-3.75,0.0
0.321,0.939,27,health,gym,,-1,51.5
0.136,0.167,14,errand,store,,-1,22.1
0.249,0.804,52,work,cafe,08:00,-5.0,0.0
0.553,0.137,109,study,home,,-1,106.4
0.437,0.638,97,work,cafe,17:15,3.25,106.8
0.501,0.372,150,social,outdoor,,-1,173.7
0.075,0.273,100,social,outdoor,,-1,102.6
0.217,0.55,61,work,home,14:15,-6.75,0.0
0.539,0.342,45,work,cafe,,-1,55.0
0.57,0.554,14,errand,outdoor,20:18,9.3,39.4
0.333,0.325,44,errand,home,16:30,7.5,36.9
1.0,0.644,103,work,home,16:15,4.25,153.7
0.606,0.12,41,errand,store,16:15,2.25,46.0
0.539,0.563,55,personal,cafe,09:00,-3.0,0.0
0.174,0.244,32,personal,store,09:00,-3.0,0.0
0.949,0.523,52,health,outdoor,09:30,-9.5,0.0
0.389,0.574,71,study,cafe,10:30,-0.5,0.0
0.974,0.623,72,study,home,,-1,105.5
0.311,0.383,30,errand,store,09:30,-9.5,0.0
0.593,0.412,67,study,home,10:45,1.75,68.4
0.904,0.623,30,study,cafe,18:45,1.75,49.7
0.535,0.594,54,health,outdoor,20:30,12.5,84.7
0.793,0.172,111,study,home,22:45,2.75,140.1
0.583,0.615,32,work,cafe,,-1,44.4
0.632,0.581,98,work,office,23:00,13.0,122.1
0.32,0.1,75,social,cafe,10:45,0.75,63.3
0.55,0.395,34,study,office,20:00,9.0,52.1
0.277,0.595,159,social,cafe,12:15,-5.75,0.0
0.502,0.354,23,errand,outdoor,,-1,46.7
0.302,0.028,16,personal,cafe,13:18,-2.7,0.0
0.868,0.731,57,health,gym,,-1,102.6
0.234,0.284,83,personal,cafe,,-1,78.1
0.638,0.5,67,work,office,,-1,90.2
0.2,0.421,38,errand,home,,-1,28.9
0.518,0.293,68,personal,home,,-1,60.9
0.478,0.24,39,personal,home,,-1,30.5
0.761,0.669,100,work,home,,-1,125.0
0.509,0.34,22,personal,cafe,08:18,-12.7,0.0
0.432,0.432,43,errand,outdoor,08:00,-1.0,65.2
0.569,0.0,69,personal,home,20:18,4.3,50.2
0.0,0.424,18,errand,store,21:30,3.5,24.6
0.481,0.394,37,work,cafe,23:15,7.25,52.3
0.269,0.648,23,personal,store,11:18,4.3,35.4
0.697,0.366,27,personal,cafe,19:18,11.3,34.9
0.25,0.122,61,social,home,,-1,52.5
0.266,0.788,87,work,office,,-1,107.1
0.207,0.233,36,errand,store,,-1,43.1
0.692,0.15,51,personal,store,12:18,-6.7,0.0
0.43,0.577,27,errand,outdoor,21:00,12.0,52.8
0.413,0.606,118,social,cafe,,-1,125.7
0.407,0.995,20,errand,outdoor,,-1,48.9
0.433,0.331,79,personal,store,,-1,81.5
0.225,0.134,71,social,home,17:00,4.0,61.0
0.404,0.82,36,errand,home,,-1,30.1
0.522,0.364,16,errand,outdoor,,-1,39.7
0.251,0.379,37,personal,cafe,09:18,-3.7,0.0
0.405,0.224,88,personal,store,,-1,87.2
0.424,0.495,14,errand,store,14:18,3.3,26.1
0.27,0.297,34,personal,home,,-1,24.3
0.141,0.442,149,social,outdoor,11:18,0.3,0.0
0.514,0.084,90,personal,home,13:30,-8.5,0.0
0.182,0.13,120,study,home,,-1,106.0
0.299,0.654,123,social,home,,-1,123.5
0.459,0.614,115,study,office,,-1,130.6
0.384,0.39,91,study,cafe,,-1,108.9
0.15,0.492,115,work,home,,-1,119.8
0.46,0.532,34,errand,outdoor,,-1,51.9
0.531,0.411,34,health,gym,,-1,57.1
0.622,0.194,42,personal,store,,-1,41.9
0.574,0.56,37,work,office,,-1,53.9
0.487,0.786,117,work,office,10:15,-5.75,0.0
0.966,0.433,63,study,cafe,21:45,15.75,98.2
0.335,0.276,98,social,outdoor,19:30,9.5,126.0
0.299,0.386,76,personal,home,,-1,58.8
0.177,0.448,24,errand,store,,-1,29.7
0.632,0.7,101,work,cafe,13:18,-7.7,0.0
0.186,0.647,39,personal,cafe,14:15,-4.75,0.0
0.0,0.086,62,personal,home,17:18,-1.7,0.0
0.103,0.311,70,personal,cafe,10:18,0.3,0.0
0.553,0.702,37,health,outdoor,21:15,13.25,67.2
0.167,0.28,57,personal,cafe,23:45,4.75,51.7
0.45,0.516,54,health,gym,10:00,-7.0,0.0
0.426,0.472,30,health,gym,,-1,53.0
0.705,0.264,126,social,outdoor,,-1,164.8
0.815,0.628,59,study,office,13:45,-6.25,0.0
0.196,0.248,32,personal,home,16:00,0.0,0.0
0.362,0.387,60,personal,store,,-1,57.6
0.384,0.293,24,errand,outdoor,,-1,47.5
0.726,0.464,68,work,home,,-1,88.0
0.594,0.545,149,social,home,,-1,147.4
0.511,0.136,111,social,home,17:45,11.75,98.4
0.564,0.431,41,study,cafe,21:00,13.0,49.7
0.482,0.74,117,work,home,23:18,8.3,136.7
0.641,0.492,36,personal,cafe,,-1,43.2
